recording_name,trial_number,subject_id,dataset_name,age_months,yoked_target,yoked_distractor,yoked_pair,exp_to_target_lang,fre_exp,eng_exp,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,max_pupil_baseline,max_pupil_post_onset,peak_pupil_size_difference,mean_pupil_baseline,mean_pupil_post_onset,mean_pupil_size_difference,peak_pupil_latency,age_months_centred,data_split
CompMix36_S17_94332000_F2,13,94332000,CompMix-36,38,poisson,canard,duck-fish,40,40,60,Fish_FrMixed_R.wmv,target,115,0,1,NA,3,NA,1,NA,0,627.7777777777778,850.0000000000001,850.0000000000001,3.125,3.375,0.25,3.0745833333333334,3.2388157894736844,0.16423245614035098,1449,13,target
CompMix36_S17_94332000_F2,19,94332000,CompMix-36,38,canard,poisson,duck-fish,40,40,60,Duck_FrMixed_L.wmv,target,150,0,1,NA,2,NA,1,NA,0,1250,1416.6666666666667,1416.6666666666667,3.1799999999999997,3.48,0.30000000000000027,3.1487499999999997,3.350611111111111,0.2018611111111115,1432,13,target
CompMix36_S24_545388000_F2,16,545388000,CompMix-36,41,grenouille,vache,cow-froggy,40,40,60,Froggy_FrMixed_R.wmv,target,122,37,0.7672955974842768,NA,1,NA,1,NA,1,2033.3333333333335,2033.3333333333335,2033.3333333333335,2.995,3.205,0.20999999999999996,2.953333333333333,3.082222222222222,0.12888888888888905,982,16,target
CompMix36_S24_545388000_F2,19,545388000,CompMix-36,41,canard,poisson,duck-fish,40,40,60,Duck_FrMixed_L.wmv,target,130,29,0.8176100628930818,NA,2,NA,0,NA,2,1083.3333333333335,383.33333333333337,1783.3333333333335,3.045,3.065,0.020000000000000018,2.96625,2.846388888888889,-0.1198611111111112,83,16,target
CompMix36_S24_545388000_F2,23,545388000,CompMix-36,41,singe,mouton,monkey-sheep,40,40,60,Monkey_FrMixed_R.wmv,target,136,23,0.8553459119496856,NA,1,NA,1,NA,1,2266.666666666667,2266.666666666667,2266.666666666667,3.135,3.165,0.03000000000000025,3.1154166666666665,2.979888888888889,-0.13552777777777747,1016,16,target
CompMix36_S30_109320000_F2,4,109320000,CompMix-36,40.2,mouton,singe,monkey-sheep,60,60,40,Sheep_FrMixed_L.wmv,target,47,107,0.3051948051948052,NA,1,NA,0,NA,1,783.3333333333334,783.3333333333334,783.3333333333334,3.26,3.57,0.31000000000000005,3.2354166666666666,3.38875,0.15333333333333332,1249,15.200000000000003,target
CompMix36_S30_109320000_F2,11,109320000,CompMix-36,40.2,chien,lapin,bunny-dog,60,60,40,Dog_FrMixed_L.wmv,target,109,40,0.7315436241610739,NA,1,NA,1,NA,1,1816.6666666666667,1816.6666666666667,1816.6666666666667,3.13,3.315,0.18500000000000005,3.1075,3.2050555555555555,0.09755555555555562,916,15.200000000000003,target
CompMix36_S30_109320000_F2,16,109320000,CompMix-36,40.2,grenouille,vache,cow-froggy,60,60,40,Froggy_FrMixed_R.wmv,target,50,97,0.3401360544217687,NA,1,NA,0,NA,1,833.3333333333334,833.3333333333334,833.3333333333334,3.1799999999999997,3.375,0.19500000000000028,3.165,3.2385625,0.07356249999999998,1066,15.200000000000003,target
CompMix36_S30_109320000_F2,19,109320000,CompMix-36,40.2,canard,poisson,duck-fish,60,60,40,Duck_FrMixed_L.wmv,target,59,94,0.38562091503267976,NA,1,NA,0,NA,1,983.3333333333334,983.3333333333334,983.3333333333334,3.425,3.72,0.2950000000000004,3.3758333333333335,3.5265555555555554,0.15072222222222198,1466,15.200000000000003,target
CompMix36_S30_109320000_F2,23,109320000,CompMix-36,40.2,singe,mouton,monkey-sheep,60,60,40,Monkey_FrMixed_R.wmv,target,159,0,1,NA,1,NA,1,NA,0,2650,2650,2650,3.31,3.475,0.16500000000000004,3.2670833333333333,3.3570555555555557,0.08997222222222234,1316,15.200000000000003,target
CompMix36_S03_86508000_E1,4,86508000,CompMix-36,43.2,sheep,monkey,monkey-sheep,30,70,30,Sheep_EngMixed_R.wmv,target,128,27,0.8258064516129032,0.3836477987421384,4,NA,0,NA,2,533.3333333333334,233.33333333333334,1266.6666666666667,3.43,3.66,0.22999999999999998,3.3516666666666666,3.526136363636364,0.17446969696969727,300,18.200000000000003,target
CompMix36_S03_86508000_E1,11,86508000,CompMix-36,43.2,dog,bunny,bunny-dog,30,70,30,Dog_EngMixed_R.wmv,target,142,0,1,NA,3,NA,1,NA,0,711.1111111111112,366.6666666666667,1433.3333333333335,3.4450000000000003,3.895,0.44999999999999973,3.3670833333333334,3.6113924050632913,0.24430907172995786,1299,18.200000000000003,target
CompMix36_S03_86508000_E1,19,86508000,CompMix-36,43.2,duck,fish,duck-fish,30,70,30,Duck_EngMixed_R.wmv,target,55,98,0.35947712418300654,NA,1,NA,0,NA,1,916.6666666666667,916.6666666666667,916.6666666666667,3.4800000000000004,3.7649999999999997,0.28499999999999925,3.3779166666666667,3.603965517241379,0.22604885057471247,1316,18.200000000000003,target
CompMix36_S03_86508000_E1,23,86508000,CompMix-36,43.2,monkey,sheep,monkey-sheep,30,70,30,Monkey_EngMixed_L.wmv,target,79,67,0.541095890410959,0.32704402515723274,1,NA,0,NA,1,1316.6666666666667,1316.6666666666667,1316.6666666666667,3.915,3.9000000000000004,-0.01499999999999968,3.78625,3.6349444444444443,-0.15130555555555558,1615,18.200000000000003,target
CompMix36_S05_96120000_E1,10,96120000,CompMix-36,46,cow,froggy,cow-froggy,40,60,40,Cow_EngMixed_L.wmv,target,103,46,0.6912751677852349,NA,2,NA,0,NA,2,858.3333333333335,716.6666666666667,1000.0000000000001,3,3.425,0.4249999999999998,2.981666666666667,3.224833333333333,0.2431666666666663,1266,21,target
CompMix36_S05_96120000_E1,11,96120000,CompMix-36,46,dog,bunny,bunny-dog,40,60,40,Dog_EngMixed_R.wmv,target,90,24,0.7894736842105263,NA,3,NA,0,NA,1,350.00000000000006,516.6666666666667,516.6666666666667,3.215,3.31,0.0950000000000002,3.1983333333333333,3.148314606741573,-0.05001872659176021,216,21,target
CompMix36_S05_96120000_E1,23,96120000,CompMix-36,46,monkey,sheep,monkey-sheep,40,60,40,Monkey_EngMixed_L.wmv,target,84,72,0.5384615384615384,NA,1,NA,0,NA,2,1383.3333333333335,1383.3333333333335,1383.3333333333335,3.34,3.8,0.45999999999999996,3.1734999999999998,3.2808888888888887,0.10738888888888898,517,21,target
