recording_name,trial_number,subject_id,dataset_name,age_months,yoked_target,yoked_distractor,yoked_pair,exp_to_target_lang,fre_exp,eng_exp,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,max_pupil_baseline,max_pupil_post_onset,peak_pupil_size_difference,mean_pupil_baseline,mean_pupil_post_onset,mean_pupil_size_difference,peak_pupil_latency,age_months_centred,data_split
CompMix36_S04_82812000_F1,22,82812000,CompMix-36,39,canard,poisson,duck-fish,70,70,30,Duck_FrSingle_L.wmv,distractor,86,29,0.7478260869565218,NA,1,1,NA,486,1,1433.3333333333335,1433.3333333333335,1433.3333333333335,2.965,3.05,0.08499999999999996,2.95125,2.993,0.041749999999999954,533,14,distractor
CompMix36_S21_503484000_F1,1,503484000,CompMix-36,37,oreille,cuillere,ear-spoon,50,50,50,Ear_FrFiller_R.wmv,distractor,132,26,0.8354430379746836,NA,1,1,NA,438,1,2200,2200,2200,2.81,2.885,0.07499999999999973,2.783333333333333,2.785888888888889,0.0025555555555558662,933,12,distractor
CompMix36_S21_503484000_F1,2,503484000,CompMix-36,37,pomme,brosse a dents,apple-toothbrush,50,50,50,Apple_FrFiller_L.wmv,distractor,130,11,0.9219858156028369,NA,2,1,NA,188,0,1083.3333333333335,1200,1200,2.78,2.98,0.20000000000000018,2.7408333333333332,2.8041666666666667,0.06333333333333346,782,12,distractor
CompMix36_S21_503484000_F1,12,503484000,CompMix-36,37,brosse a dents,pomme,apple-toothbrush,50,50,50,Toothbrush_FrFiller_L.wmv,distractor,111,16,0.8740157480314961,NA,3,1,NA,271,1,616.6666666666667,800,800,3.11,2.9850000000000003,-0.12499999999999956,3.01375,2.778522727272727,-0.23522727272727284,100,12,distractor
CompMix36_S21_503484000_F1,15,503484000,CompMix-36,37,porte,main,door-hand,50,50,50,Door_FrFiller_R.wmv,distractor,82,3,0.9647058823529412,NA,2,1,NA,54,0,575,850.0000000000001,850.0000000000001,2.895,3.13,0.23499999999999988,2.8825,2.9720689655172414,0.08956896551724158,1416,12,distractor
CompMix36_S21_503484000_F1,17,503484000,CompMix-36,37,crayon,manteau,coat-pencil,50,50,50,Pencil_FrFiller_L.wmv,distractor,68,19,0.7816091954022989,NA,2,1,NA,337,1,458.33333333333337,483.33333333333337,483.33333333333337,2.91,3.045,0.1349999999999998,2.8537500000000002,2.855344827586207,0.0015948275862065486,582,12,distractor
CompMix36_S21_503484000_F1,24,503484000,CompMix-36,37,vache,grenouille,cow-froggy,50,50,50,Cow_FrSingle_L.wmv,distractor,137,12,0.9194630872483222,NA,1,1,NA,254,1,2250,2250,2250,2.935,3.2750000000000004,0.3400000000000003,2.8625,2.936888888888889,0.07438888888888906,699,12,distractor
CompMix36_S25_93468000_F1,5,93468000,CompMix-36,37,chien,lapin,bunny-dog,90,90,10,Dog_FrSingle_L.wmv,distractor,91,35,0.7222222222222222,NA,4,1,NA,587,1,350,400,600,3.1799999999999997,3.42,0.2400000000000002,3.12375,3.2324137931034485,0.10866379310344865,316,12,distractor
CompMix36_S25_93468000_F1,9,93468000,CompMix-36,37,mouton,singe,monkey-sheep,90,90,10,Sheep_FrSingle_L.wmv,distractor,80,21,0.7920792079207921,NA,3,1,NA,353,1,438.8888888888889,583.3333333333334,583.3333333333334,3.4450000000000003,3.525,0.07999999999999963,3.3333333333333335,3.2919886363636364,-0.041344696969697114,1099,12,distractor
CompMix36_S25_93468000_F1,14,93468000,CompMix-36,37,grenouille,vache,cow-froggy,90,90,10,Froggy_FrSingle_R.wmv,distractor,106,4,0.9636363636363636,NA,2,1,NA,71,0,883.3333333333334,1066.6666666666667,1066.6666666666667,3.1399999999999997,3.47,0.3300000000000005,3.0679166666666666,3.2299444444444445,0.16202777777777788,1566,12,distractor
