recording_name,trial_number,subject_id,dataset_name,age_months,yoked_target,yoked_distractor,yoked_pair,exp_to_target_lang,fre_exp,eng_exp,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,max_pupil_baseline,max_pupil_post_onset,peak_pupil_size_difference,mean_pupil_baseline,mean_pupil_post_onset,mean_pupil_size_difference,peak_pupil_latency,age_months_centred,data_split
CompMix36_S21_503484000_F1,2,503484000,CompMix-36,37,pomme,brosse a dents,apple-toothbrush,50,50,50,Apple_FrFiller_L.wmv,distractor,130,11,0.9219858156028369,NA,2,1,NA,188,0,1083.3333333333335,1200,1200,2.78,2.885,0.10499999999999998,2.7408333333333332,2.819166666666667,0.07833333333333359,433,12,distractor
CompMix36_S21_503484000_F1,12,503484000,CompMix-36,37,brosse a dents,pomme,apple-toothbrush,50,50,50,Toothbrush_FrFiller_L.wmv,distractor,111,16,0.8740157480314961,NA,3,1,NA,271,1,616.6666666666667,800,800,3.11,2.9850000000000003,-0.12499999999999956,3.01375,2.8613333333333335,-0.15241666666666642,100,12,distractor
CompMix36_S21_503484000_F1,15,503484000,CompMix-36,37,porte,main,door-hand,50,50,50,Door_FrFiller_R.wmv,distractor,82,3,0.9647058823529412,NA,2,1,NA,54,0,575,850.0000000000001,850.0000000000001,2.895,3.005,0.10999999999999988,2.8825,2.9671666666666665,0.08466666666666667,267,12,distractor
CompMix36_S21_503484000_F1,17,503484000,CompMix-36,37,crayon,manteau,coat-pencil,50,50,50,Pencil_FrFiller_L.wmv,distractor,68,19,0.7816091954022989,NA,2,1,NA,337,1,458.33333333333337,483.33333333333337,483.33333333333337,2.91,3.045,0.1349999999999998,2.8537500000000002,2.875,0.02124999999999977,582,12,distractor
CompMix36_S21_503484000_F1,24,503484000,CompMix-36,37,vache,grenouille,cow-froggy,50,50,50,Cow_FrSingle_L.wmv,distractor,137,12,0.9194630872483222,NA,1,1,NA,254,1,2250,2250,2250,2.935,3.18,0.2450000000000001,2.8625,2.921666666666667,0.059166666666667034,616,12,distractor
CompMix36_S25_93468000_F1,5,93468000,CompMix-36,37,chien,lapin,bunny-dog,90,90,10,Dog_FrSingle_L.wmv,distractor,91,35,0.7222222222222222,NA,4,1,NA,587,1,350,400,600,3.1799999999999997,3.42,0.2400000000000002,3.12375,3.247,0.12325000000000008,316,12,distractor
CompMix36_S25_93468000_F1,9,93468000,CompMix-36,37,mouton,singe,monkey-sheep,90,90,10,Sheep_FrSingle_L.wmv,distractor,80,21,0.7920792079207921,NA,3,1,NA,353,1,438.8888888888889,583.3333333333334,583.3333333333334,3.4450000000000003,3.335,-0.11000000000000032,3.3333333333333335,3.2218333333333335,-0.11149999999999993,683,12,distractor
CompMix36_S25_93468000_F1,14,93468000,CompMix-36,37,grenouille,vache,cow-froggy,90,90,10,Froggy_FrSingle_R.wmv,distractor,106,4,0.9636363636363636,NA,2,1,NA,71,0,883.3333333333334,1066.6666666666667,1066.6666666666667,3.1399999999999997,3.225,0.08500000000000041,3.0679166666666666,3.1215,0.05358333333333354,150,12,distractor
CompMix36_S28_502428000_F1,3,502428000,CompMix-36,38,poisson,canard,duck-fish,40,40,60,Fish_FrSingle_R.wmv,distractor,79,80,0.4968553459119497,NA,1,1,NA,1337,1,1316.6666666666667,1316.6666666666667,1316.6666666666667,3.5,3.2350000000000003,-0.2649999999999997,3.32125,3.1713333333333336,-0.14991666666666648,183,13,distractor
CompMix36_S28_502428000_F1,5,502428000,CompMix-36,38,chien,lapin,bunny-dog,40,40,60,Dog_FrSingle_L.wmv,distractor,79,65,0.5486111111111112,NA,1,1,NA,4,1,1316.6666666666667,1316.6666666666667,1316.6666666666667,3.26,3.2800000000000002,0.020000000000000462,3.225,3.2373333333333334,0.012333333333333307,516,13,distractor
CompMix36_S28_502428000_F1,8,502428000,CompMix-36,38,main,porte,door-hand,40,40,60,Hand_FrFiller_R.wmv,distractor,71,19,0.7888888888888889,NA,1,1,NA,150,0,1183.3333333333335,1183.3333333333335,1183.3333333333335,3.335,3.475,0.14000000000000012,3.307916666666667,3.3985,0.09058333333333302,515,13,distractor
CompMix36_S28_502428000_F1,9,502428000,CompMix-36,38,mouton,singe,monkey-sheep,40,40,60,Sheep_FrSingle_L.wmv,distractor,136,23,0.8553459119496856,NA,1,1,NA,383,1,2266.666666666667,2266.666666666667,2266.666666666667,3.26,3.5300000000000002,0.27000000000000046,3.21125,3.4393333333333334,0.2280833333333332,449,13,distractor
CompMix36_S13_536412000_F2,9,536412000,CompMix-36,40.43333333333333,mouton,singe,monkey-sheep,70,70,40,Sheep_FrSingle_R.wmv,distractor,41,41,0.5,NA,1,1,NA,520,1,683.3333333333334,683.3333333333334,683.3333333333334,3.37,3.415,0.04499999999999993,3.3249999999999997,3.369666666666667,0.044666666666667076,433,15.43333333333333,distractor
CompMix36_S13_536412000_F2,12,536412000,CompMix-36,40.43333333333333,brosse a dents,pomme,apple-toothbrush,70,70,40,Toothbrush_FrFiller_R.wmv,distractor,105,37,0.7394366197183099,NA,3,1,NA,620,1,583.3333333333334,416.6666666666667,1000.0000000000001,2.9699999999999998,3.0549999999999997,0.08499999999999996,2.8891666666666667,2.943,0.0538333333333334,483,15.43333333333333,distractor
CompMix36_S13_536412000_F2,14,536412000,CompMix-36,40.43333333333333,grenouille,vache,cow-froggy,70,70,40,Froggy_FrSingle_L.wmv,distractor,100,35,0.7407407407407407,NA,3,1,NA,588,1,516.6666666666667,433.33333333333337,866.6666666666667,3.075,3.0949999999999998,0.019999999999999574,3.02875,2.9414285714285713,-0.08732142857142877,633,15.43333333333333,distractor
CompMix36_S13_536412000_F2,17,536412000,CompMix-36,40.43333333333333,crayon,manteau,coat-pencil,70,70,40,Pencil_FrFiller_R.wmv,distractor,84,33,0.717948717948718,NA,1,1,NA,537,1,916.6666666666667,916.6666666666667,916.6666666666667,3,2.965,-0.03500000000000014,2.9645833333333336,2.841666666666667,-0.12291666666666679,183,15.43333333333333,distractor
